feat0,feat1,y
-6.711027436127798,-10.55634521805273,2
-5.234448240941011,-13.292198508594826,2
-7.2573160767167995,-11.531439486754515,2
4.663889017933274,6.702143702202987,0
-4.782283569602008,-8.392337759946274,2
8.271790430859967,11.120023985979214,0
-5.841913536013788,-9.063061845412754,2
-5.144524721536872,-10.343808001282984,2
-3.206346439176949,-8.38114784384649,2
9.916033359963869,0.9527922593349236,1
10.060342308706204,12.677647683252841,0
8.180365682663751,7.623926498233423,0
7.5105590044582815,4.346485523760158,1
-8.621778920908305,-8.573658018287652,2
-6.416639716994289,-9.210264801934038,2
7.964576358193223,11.208247657903783,0
6.067065520082133,9.49757848744331,0
-5.276364469606794,-8.616629975197428,2
5.5682649538207,1.2534761052704153,1
7.092357700359099,0.3377938097997505,1
8.757910219606885,9.024629763190262,0
4.548132592302505,7.29128895806323,0
7.612845408770823,12.186036386839612,0
6.717223969979184,8.757971817757396,0
7.611782483660743,0.6180661600689623,1
6.800688382530359,-1.7176898493925092,1
-5.3081958757281145,-7.314858463047578,2
-6.330764780439296,-7.502181844754238,2
7.886425645736681,1.1793129130268798,1
-5.436557464307477,-13.423747554347166,2
6.25139632698077,6.905936863099907,0
6.517192059238786,2.4803774717223144,1
4.6230679943918265,1.2246755906858755,1
2.766208404405374,11.080113506859472,0
5.094092504743319,2.3224189380477376,1
-3.797573608164177,-10.14602597080206,2
8.660829514858925,10.83544490102005,0
-3.45963507673219,-8.307868624353699,2
9.83234159707328,0.28300511458714667,1
3.7910710937528274,2.348138544970012,1
-5.301099923151608,-9.883088509353266,2
6.553684156404772,-0.46692030076306734,1
9.488890911007399,8.460384060382955,0
4.098035072132561,-0.036994266079576565,1
7.711112718953944,8.361562365808316,0
11.201521630409244,2.3422357471341675,1
11.177354517839387,9.150528375652469,0
7.009476306265396,9.937774087355923,0
-4.427796452590242,-8.785533140666606,2
7.515484526365544,9.643707638463795,0
6.901050200283486,8.183390349174134,0
-5.823115712622272,-9.534834766712292,2
7.285732445543493,2.196030502007763,1
9.632374253361432,9.038592340020903,0
-4.115909097560062,-7.752281746782677,2
-7.407581299538164,-9.757577089757037,2
7.128870985873997,6.542196442424039,0
6.526566337525921,-1.467890920177326,1
5.693447334836803,12.245358672221858,0
7.275527626035097,-0.0861576700088652,1
8.027495935903996,-1.1097845927432206,1
-2.4430193240331946,-11.68436231467277,2
9.671021019383504,1.1579176038700125,1
7.370096513679136,9.057858904320405,0
-6.209881942929671,-10.918729403516597,2
7.385962546011722,-0.7650762092964729,1
4.023850694533079,12.985564711430952,0
7.374194961037631,8.558460566438248,0
9.799538854228182,10.416261883560018,0
5.225077189581983,2.040504797793846,1
7.684124582848246,9.484137418422128,0
8.128232603419704,-1.3803861721476207,1
5.783597855009617,8.37476005204248,0
7.2351204112115415,10.197088340878128,0
-6.673186054815628,-11.18806360749944,2
-5.195814741564953,-9.841594163973825,2
-8.29901732637692,-10.262476392250793,2
8.454615040815032,-1.184106388016053,1
7.1118836537649175,-2.007609060839444,1
7.207215735369376,10.006890387966223,0
-4.455854351338021,-11.172189282601686,2
-6.1112786364954,-10.029374629455239,2
-4.243573131856632,-5.807609527638121,2
-4.618644943809081,-11.274778832281992,2
10.021632989342443,10.879953810235495,0
9.395951909792451,4.414149096246064,1
-4.804143277343695,-9.388836425204918,2
7.6602324017750805,7.34428661671456,0
4.999602898600681,8.645501831470703,0
-5.716887648230323,-11.730077589059638,2
5.419440967069051,-0.3859757720907546,1
7.081467537321985,1.3665814912947878,1
7.557364600827376,2.6127597645641214,1
6.467551270551868,2.0124828812132556,1
-3.348283379448353,-11.01339098496809,2
7.548282872808697,0.9403324390473106,1
7.918660327141661,-0.8111270618314315,1
-5.378760752006692,-6.673119495710933,2
8.269258932453933,10.568353317945737,0
8.66468509006409,1.0781818836076371,1
